ID_Statie,Lat,Lon,Data,Inundatie_Target,soil_moisture_surface_pct,mean_precipitation_mm
FLD_0001,39.47,-0.38,2024-10-29,1,96.37999725341795,2.7711987495422363
FLD_0002,19.76,96.08,2024-09-09,1,96.06999969482422,0.8069961159317581
FLD_0003,48.21,16.37,2024-09-14,1,95.63999938964844,3.2684979615388094
FLD_0004,49.82,18.26,2024-09-13,1,94.62000274658205,1.6512848712779857
FLD_0005,50.48,17.33,2024-09-14,1,89.48999786376953,3.2641048784609192
FLD_0006,45.44,28.01,2024-09-13,1,80.61000061035156,0.1942714055379232
FLD_0007,47.5,19.04,2024-09-19,1,94.4800033569336,0.0
FLD_0008,44.79,20.45,2024-09-18,1,92.12999725341795,0.002198749118381076
FLD_0009,19.91,99.84,2024-09-11,1,95.55999755859376,2.3347293889081038
FLD_0010,16.07,108.22,2024-09-07,1,56.15999984741211,0.0
FLD_0011,17.6,121.75,2024-09-02,1,88.8499984741211,1.5516523961667663
FLD_0012,-30.03,-51.22,2024-04-29,1,,1.0436177253723145
FLD_0013,25.2,55.27,2024-04-16,1,77.52999877929688,4.654105062837954
FLD_0014,36.13,68.72,2024-05-10,1,73.16000366210938,0.8251512492144549
FLD_0015,30.43,-8.13,2024-09-06,1,90.45999908447266,0.08504258261786567
FLD_0016,0.02,37.91,2024-04-24,1,92.41999816894533,0.1361657071996618
FLD_0017,17.02,54.09,2024-05-25,1,64.7300033569336,2.8698532669632522e-05
FLD_0018,2.21,99.2,2024-05-11,1,95.76000213623048,0.37007420151321974
FLD_0019,-3.42,-65.86,2024-06-01,1,-1.0,0.1498328314887153
FLD_0020,13.81,8.99,2024-07-20,1,79.7300033569336,0.07714165581597222
FLD_0021,30.38,69.35,2024-07-05,1,88.30999755859375,0.03332561916775174
FLD_0022,11.61,76.08,2024-07-30,1,99.0999984741211,2.4705860349867077
FLD_0023,27.61,111.72,2024-06-19,1,93.97000122070312,0.5860880569175437
FLD_0024,-6.79,39.21,2024-04-25,1,97.52999877929688,0.759758331157543
FLD_0025,3.94,43.76,2024-05-01,1,88.11000061035156,0.13166445272940178
FLD_0026,32.75,22.64,2023-09-10,1,54.59999847412109,2.079921740072745
FLD_0027,39.64,22.42,2023-09-05,1,80.58999633789062,3.8268014236732766
FLD_0028,46.23,14.99,2023-08-03,1,85.02999877929688,0.49195466218171297
FLD_0029,-0.45,40.67,2023-11-10,1,95.73999786376952,0.5662176344129773
FLD_0030,7.34,9.16,2023-09-20,1,98.4800033569336,0.19759602016872832
FLD_0031,44.49,11.34,2023-05-16,1,95.72000122070312,2.4613252392521607
FLD_0032,15.5,32.56,2023-07-25,1,,0.00027815500895182293
FLD_0033,24.89,91.87,2023-06-10,1,98.23999786376952,1.210248028790509
FLD_0034,-8.11,-79.03,2023-03-07,1,84.0199966430664,0.1423866660506637
FLD_0035,-34.6,-58.38,2023-08-17,1,83.4800033569336,1.1584162712097168
FLD_0036,-17.26,35.53,2023-03-11,1,96.0999984741211,1.9076709394101745
FLD_0037,3.86,-76.53,2023-04-10,1,84.55000305175781,2.7948088116115994
FLD_0038,-4.32,15.32,2023-01-13,1,63.970001220703125,0.016265445285373267
FLD_0039,-14.48,48.22,2023-01-19,1,94.56999969482422,6.796788286279749
FLD_0040,15.12,105.8,2023-09-10,1,84.83999633789062,1.2612519440827545
FLD_0041,-2.17,-77.81,2023-03-01,1,94.37999725341795,0.271194510989719
FLD_0042,-6.79,39.21,2023-04-25,1,97.36000061035156,0.0949788976598669
FLD_0043,3.94,43.76,2023-05-01,1,94.33000183105467,0.022883768434877747
FLD_0044,24.66,93.9,2023-06-15,1,88.91000366210938,0.24531947241889104
FLD_0045,-3.42,-65.86,2023-06-01,1,99.97000122070312,0.47388783207646124
FLD_0046,39.9,116.41,2023-07-29,1,98.80999755859376,1.562198003133138
FLD_0047,22.33,114.18,2023-09-07,1,,1.2185374895731609
FLD_0048,31.1,77.17,2023-07-08,1,80.37000274658203,1.9861062367757163
FLD_0049,30.38,69.35,2023-08-25,1,84.88999938964844,0.0015320601286711514
FLD_0050,18.36,121.77,2023-05-28,1,,0.9078052308824328
FLD_0051,28.37,68.36,2022-06-14,1,81.19999694824219,0.0
FLD_0052,8.89,5.9,2022-09-01,1,,0.25308352929574474
FLD_0053,-27.47,153.03,2022-02-26,1,95.73999786376952,5.462613370683457
FLD_0054,-29.86,30.98,2022-04-11,1,,7.354742950863308
FLD_0055,26.14,91.74,2022-06-15,1,79.0,2.4167718710722745
FLD_0056,24.89,91.87,2022-06-17,1,89.94000244140625,4.536586779135245
FLD_0057,8.15,125.12,2022-01-16,1,,0.6385511822170682
FLD_0058,15.88,108.34,2022-10-28,1,75.72000122070312,0.21223668698911313
FLD_0059,3.86,-76.53,2022-11-01,1,,0.43067446461430303
FLD_0060,26.1,85.31,2022-07-15,1,88.4800033569336,0.038815869225396045
FLD_0061,29.65,105.07,2022-08-20,1,,0.0015276449697989006
FLD_0062,37.57,127.0,2022-08-08,1,,2.861844168768989
FLD_0063,37.38,-83.5,2022-07-26,1,91.61000061035156,1.375823109238236
FLD_0064,15.5,32.56,2022-07-20,1,,0.008104024110016999
FLD_0065,14.03,38.31,2022-07-01,1,,0.5253707921063459
FLD_0066,18.09,-93.23,2022-10-25,1,97.86000061035156,0.0017771014460810908
FLD_0067,-21.45,47.09,2022-02-05,1,,7.046646542019314
FLD_0068,-23.35,47.57,2022-02-22,1,92.58999633789062,5.0125342828256105
FLD_0069,-13.52,-71.97,2022-02-20,1,83.72000122070312,0.3076394399007161
FLD_0070,35.8,74.46,2022-06-01,1,67.25,0.6874424439889414
FLD_0071,50.73,6.07,2021-07-12,1,91.08999633789062,0.1288365434717249
FLD_0072,34.75,113.63,2021-07-17,1,98.83999633789062,0.08602495546694156
FLD_0073,-3.42,-65.86,2021-05-01,1,99.73999786376952,0.5213044307850025
FLD_0074,-2.21,115.28,2021-01-09,1,99.83000183105467,0.3826971407289858
